dataset,n_rows,n_cols,duplicate_rows,n_missing_columns,date_columns,lat_columns,lon_columns
rainfall,1384487,7,0,0,date,latitude,longitude
traffic,168878,57,0,55,timestamp;time_of_day_hour;target_remaining_travel_time_min,origin_latitude;destination_latitude;vehicle_latitude;grid_lat,origin_longitude;destination_longitude;vehicle_longitude;grid_lon
flood::README,21,1,3,1,,,
flood::Flood_Inventory,1299,23,0,15,Start Date;End Date,Latitude,Longitude
flood::District_FloodedArea,103,4,0,0,,,
flood::District_FloodImpact,103,5,0,0,,Population,
flood::DFSI,116,3,0,0,,,
landslide::NE India Landslides,556,32,0,21,event_date;event_time;submitted_date;created_date;last_edited_date,admin_division_population;latitude,longitude
landslide::Filter Summary,6,2,0,0,,,
